Feature,Weight,Weight_positive,Share,Points
ExternalRiskEstimate,"0,03626","0,03626","0,00381","0,00"
MSinceOldestTradeOpen,"-0,75850","0,00000","0,00000","0,00"
MSinceMostRecentTradeOpen,"1,12640","1,12640","0,11838","11,00"
AverageMInFile,"-0,29928","0,00000","0,00000","0,00"
NumSatisfactoryTrades,"-0,51448","0,00000","0,00000","0,00"
NumTrades60Ever2DerogPubRec,"0,74020","0,74020","0,07779","7,00"
NumTrades90Ever2DerogPubRec,"-1,09990","0,00000","0,00000","0,00"
PercentTradesNeverDelq,"1,27256","1,27256","0,13375","13,00"
MSinceMostRecentDelq,"-0,70857","0,00000","0,00000","0,00"
MaxDelq2PublicRecLast12M,"-1,96584","0,00000","0,00000","0,00"
MaxDelqEver,"0,46968","0,46968","0,04936","4,00"
NumTotalTrades,"0,95282","0,95282","0,10014","10,00"
NumTradesOpeninLast12M,"-1,08062","0,00000","0,00000","0,00"
PercentInstallTrades,"0,93347","0,93347","0,09811","9,00"
MSinceMostRecentInqexcl7days,"1,08942","1,08942","0,11450","11,00"
NumInqLast6M,"-0,01150","0,00000","0,00000","0,00"
NumInqLast6Mexcl7days,"0,54039","0,54039","0,05679","5,00"
NetFractionRevolvingBurden,"0,25707","0,25707","0,02702","2,00"
NetFractionInstallBurden,"-0,13101","0,00000","0,00000","0,00"
NumRevolvingTradesWBalance,"1,36833","1,36833","0,14381","14,00"
NumInstallTradesWBalance,"0,17895","0,17895","0,01881","1,00"
NumBank2NatlTradesWHighUtilization,"-0,76825","0,00000","0,00000","0,00"
PercentTradesWBalance,"0,54921","0,54921","0,05772","5,00"